Date,Open,High,Low,Close
Tue May 17 2022 00:00:00 GMT+0530 (India Standard Time),872,918.95,860,875.25
Wed May 18 2022 00:00:00 GMT+0530 (India Standard Time),885.55,891,874.1,876.35
Thu May 19 2022 00:00:00 GMT+0530 (India Standard Time),867,867,838,840.85
Fri May 20 2022 00:00:00 GMT+0530 (India Standard Time),848.55,856.8,825,826.15
Mon May 23 2022 00:00:00 GMT+0530 (India Standard Time),826.15,852.7,803.65,816.85
Tue May 24 2022 00:00:00 GMT+0530 (India Standard Time),818,834.7,816.85,823.1
Wed May 25 2022 00:00:00 GMT+0530 (India Standard Time),831.5,841.45,814.25,820.3
Thu May 26 2022 00:00:00 GMT+0530 (India Standard Time),820.3,824.8,801,811.65
Fri May 27 2022 00:00:00 GMT+0530 (India Standard Time),818.55,824.65,814.35,821.6
Mon May 30 2022 00:00:00 GMT+0530 (India Standard Time),829.9,841.4,825.3,837.75
Tue May 31 2022 00:00:00 GMT+0530 (India Standard Time),810,822,810,811.3
Wed Jun 01 2022 00:00:00 GMT+0530 (India Standard Time),811.4,817.45,808.5,810.4
Thu Jun 02 2022 00:00:00 GMT+0530 (India Standard Time),809.95,813.8,804,805.7
Fri Jun 03 2022 00:00:00 GMT+0530 (India Standard Time),808.65,810.75,800,800.25
Mon Jun 06 2022 00:00:00 GMT+0530 (India Standard Time),800.25,801.7,775.1,777.35
Tue Jun 07 2022 00:00:00 GMT+0530 (India Standard Time),772.9,772.9,751.8,753
Wed Jun 08 2022 00:00:00 GMT+0530 (India Standard Time),752.9,752.9,736.1,738.05
Thu Jun 09 2022 00:00:00 GMT+0530 (India Standard Time),729.9,736,720.1,721.7
Fri Jun 10 2022 00:00:00 GMT+0530 (India Standard Time),713,719.75,708.05,709.7
Mon Jun 13 2022 00:00:00 GMT+0530 (India Standard Time),690.9,690.9,667,668.25
Tue Jun 14 2022 00:00:00 GMT+0530 (India Standard Time),664.1,684,663,674.3
Wed Jun 15 2022 00:00:00 GMT+0530 (India Standard Time),681,709.7,679.1,690.15
Thu Jun 16 2022 00:00:00 GMT+0530 (India Standard Time),703.45,706,667,669.35
Fri Jun 17 2022 00:00:00 GMT+0530 (India Standard Time),669.1,669.35,651,654.55
Mon Jun 20 2022 00:00:00 GMT+0530 (India Standard Time),660.45,666.7,650,661.4
