CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
1,Female,60,23,73
2,Male,36,15,78
3,Male,39,32,84
4,Male,38,15,68
5,Male,61,21,52
6,Female,59,26,56
7,Female,64,15,58
8,Male,20,20,57
9,Female,56,15,79
10,Female,19,15,86
11,Male,61,26,61
12,Female,34,17,79
13,Female,23,24,66
14,Female,35,15,77
15,Female,53,15,62
16,Male,31,15,89
17,Female,38,24,75
18,Female,41,22,94
19,Male,62,20,80
20,Male,42,15,68
21,Female,25,15,58
22,Female,22,27,83
23,Male,24,15,71
24,Male,65,15,88
25,Female,52,15,60
26,Male,18,26,78
27,Male,18,22,67
28,Male,56,31,79
29,Female,59,15,84
30,Female,49,15,87
31,Male,62,18,79
32,Male,49,15,83
33,Female,19,15,68
34,Female,23,24,88
35,Female,47,15,81
36,Male,45,30,77
37,Female,44,15,71
38,Male,44,15,68
39,Female,59,35,73
40,Female,49,15,68
41,Female,66,59,30
42,Female,66,60,14
43,Female,19,81,9
44,Male,19,78,18
45,Male,49,83,14
46,Male,34,91,24
47,Female,51,78,31
48,Male,33,92,10
49,Male,33,80,1
50,Male,53,75,25
51,Female,37,88,22
52,Male,57,84,1
53,Male,67,91,25
54,Female,24,98,19
55,Female,18,62,16
56,Male,49,80,21
57,Female,36,73,4
58,Female,50,81,16
59,Female,52,86,28
60,Female,46,82,6
61,Female,52,81,1
62,Female,65,79,10
63,Male,20,93,6
64,Female,68,84,1
65,Female,55,71,5
66,Male,44,88,12
67,Male,45,80,32
68,Male,65,65,14
69,Female,34,94,19
70,Male,58,77,23
71,Male,48,78,23
72,Female,50,70,7
73,Male,59,56,11
74,Female,44,68,31
75,Male,50,83,21
76,Female,46,70,31
77,Female,42,85,21
78,Male,53,80,25
79,Male,68,74,13
80,Male,49,80,10
81,Female,39,67,94
82,Female,59,75,87
83,Male,54,83,57
84,Male,61,74,89
85,Female,49,92,78
86,Female,57,96,71
87,Male,43,66,56
88,Female,18,97,71
89,Female,49,78,89
90,Female,56,81,86
91,Female,20,101,92
92,Male,39,68,82
93,Male,64,73,76
94,Male,53,86,87
95,Female,27,101,74
96,Female,48,75,81
97,Female,18,80,99
98,Female,41,70,85
99,Male,49,77,80
100,Female,52,86,92
101,Male,60,82,76
102,Female,57,91,85
103,Male,29,73,69
104,Male,67,75,78
105,Female,46,92,64
106,Male,68,68,95
107,Male,67,99,79
108,Female,53,84,79
109,Male,52,96,57
110,Male,66,73,84
111,Male,49,90,82
112,Male,40,87,66
113,Female,66,73,63
114,Male,30,55,79
115,Female,48,83,78
116,Male,33,66,39
117,Male,69,82,70
118,Female,59,76,82
119,Male,22,80,71
120,Male,35,76,89
121,Male,61,28,23
122,Male,67,21,32
123,Female,54,21,32
124,Male,24,34,24
125,Male,48,15,42
126,Female,44,27,47
127,Female,45,22,29
128,Male,18,27,20
129,Male,66,28,31
130,Female,23,22,35
131,Female,54,26,30
132,Male,35,28,30
133,Male,48,36,41
134,Male,33,34,51
135,Female,25,42,20
136,Female,67,23,13
137,Male,37,15,34
138,Male,63,17,35
139,Female,19,30,47
140,Male,49,34,24
141,Female,42,27,16
142,Female,50,27,44
143,Female,22,27,52
144,Female,54,26,39
145,Male,31,21,37
146,Female,66,15,36
147,Male,25,15,45
148,Male,20,26,54
149,Male,61,32,23
150,Male,40,20,60
151,Male,28,29,44
152,Female,51,26,39
153,Male,32,37,45
154,Male,55,27,24
155,Male,59,21,46
156,Female,27,32,37
157,Female,37,28,37
158,Male,19,26,24
159,Male,28,28,13
160,Male,33,15,54
161,Female,21,74,35
162,Male,49,45,80
163,Male,68,60,50
164,Male,59,48,68
165,Male,22,55,41
166,Female,66,64,44
167,Male,43,40,29
168,Male,47,78,46
169,Male,66,65,38
170,Female,39,48,39
171,Female,41,36,74
172,Male,64,65,32
173,Female,62,91,70
174,Female,32,73,5
175,Male,27,45,24
176,Female,43,42,38
177,Male,20,75,65
178,Female,64,44,49
179,Female,66,73,59
180,Female,23,50,37
181,Female,62,66,84
182,Male,39,38,60
183,Female,21,49,38
184,Female,48,47,34
185,Female,53,24,62
186,Male,45,52,33
187,Female,66,57,54
188,Male,19,61,32
189,Female,62,34,97
190,Male,37,44,61
191,Female,31,77,54
192,Male,53,55,34
193,Female,67,47,50
194,Male,54,47,63
195,Female,41,61,75
196,Male,66,33,31
197,Female,26,59,39
198,Female,46,60,78
199,Male,47,61,62
200,Female,31,59,42
